Year since Katrina,Affected by Katrina,Rural-urban Continuum Code ,Urban Influence Code,Percent of adults with less than a high school diploma,Percent of adults with a high school diploma only,Percent of adults completing some college or associate's degree,Percent of adults with a bachelor's degree or higher,Personal income (thousands of dollars), Net earnings by place of residence, Personal current transfer receipts,  Income maintenance benefits,  Unemployment insurance compensation,  Retirement and other," Dividends, interest, and rent", Population (persons), Per capita personal income, Per capita net earnings, Per capita personal current transfer receipts,  Per capita income maintenance benefits,  Per capita unemployment insurance compensation,  Per capita retirement and other," Per capita dividends, interest, and rent", Earnings by place of work,  Wages and salaries,  Supplements to wages and salaries,   Employer contributions for employee pension and insurance funds,   Employer contributions for government social insurance,  Proprietors' income,   Farm proprietors' income,   Nonfarm proprietors' income,Total employment (number of jobs), Wage and salary employment, Proprietors employment,  Farm proprietors employment,  Nonfarm proprietors employment,Average earnings per job (dollars), Average wages and salaries, Average nonfarm proprietors' income,Patent Grants
9,0,7,8,12.7,35.2,33.7,18.4,1369733,590103,497334,26074,3505,467755,282296,40871,33514,14438,12168,638,86,11445,6907,736634,525042,133480,90476,43004,78112,760,77352,20896,15425,5471,487,4984,35252,34038,15520,0
2,0,6,5,27.9,40.6,20.6,10.9,1014722,612234,268397,24957,5843,237597,134091,40918,24799,14962,6559,610,143,5807,3277,679643,468448,126609,86615,39994,84586,27656,56930,19714,16134,3580,682,2898,34475,29035,19645,0
6,0,3,2,19.5,45.7,22.2,12.6,677912,406487,178153,21550,4697,151906,93272,23787,28499,17089,7490,906,197,6386,3921,200772,125383,36805,26522,10283,38584,-992,39576,7285,4352,2933,704,2229,27560,28810,17755,0
8,0,3,2,10.9,30,27.2,31.9,4671148,2939647,1061696,99481,11157,951058,669805,125353,37264,23451,8470,794,89,7587,5343,3409227,2336619,636709,467530,169179,435899,32,435867,78431,63250,15181,1221,13960,43468,36943,31223,17
2,0,5,8,28.8,29.3,27.2,14.7,2513351,1542807,577099,60167,4264,512668,393445,84518,29737,18254,6828,712,50,6066,4655,1751524,1290274,295016,208504,86512,166234,519,165715,48390,39219,9171,1022,8149,36196,32899,20336,1
10,0,7,11,9.9,32.8,34.7,22.6,590770,260668,183447,15112,2013,166322,146655,15867,37233,16428,11562,952,127,10482,9243,283911,194996,60878,42548,18330,28037,7188,20849,8287,5478,2809,582,2227,34260,35596,9362,0
7,0,1,1,3.9,21.7,32.1,42.3,12880629,9196919,1400229,87711,55765,1256753,2283481,243733,52847,37734,5745,360,229,5156,9369,4582064,3144593,750209,493277,256932,687262,22438,664824,108583,78783,29800,489,29311,42199,39915,22682,388
4,0,8,7,30.2,39.2,21.8,8.8,215709,99516,81380,6538,2841,72001,34813,9490,22730,10486,8575,689,299,7587,3668,74980,47014,12412,8543,3869,15554,4028,11526,3168,1927,1241,411,830,23668,24398,13887,0
3,0,1,1,10.6,19.9,32.8,36.6,27061001,21483857,2114205,159162,52519,1902524,3462939,630104,42947,34096,3355,253,83,3019,5496,10462642,7299568,1455354,974873,480481,1707720,-3768,1711488,284340,183999,100341,2379,97962,36796,39672,17471,136
7,0,2,2,10.9,38.6,34.8,15.7,3189400,2033538,758016,69059,22818,666139,397846,82889,38478,24533,9145,833,275,8037,4800,1552216,1133213,266353,188120,78233,152650,-6545,159195,32362,24656,7706,620,7086,47964,45961,22466,7
6,0,7,11,11.4,30.3,33,25.3,813683,487760,169195,12582,7676,148937,156728,18401,44219,26507,9195,684,417,8094,8517,562479,300191,112747,92977,19770,149541,11183,138358,10338,7772,2566,85,2481,54409,38625,55767,0
0,0,9,10,33.4,35.3,20.5,10.8,144815,75176,49784,5554,539,43691,19855,6008,24104,12513,8286,924,90,7272,3305,59051,33232,11287,8662,2625,14532,131,14401,2363,1513,850,199,651,24990,21964,22121,0
1,0,2,2,15.6,23.5,21,39.9,74442192,48500758,4895454,311035,119835,4464584,21045980,896254,83059,54115,5462,347,134,4981,23482,47286671,33302397,6174617,4269668,1904949,7809657,10046,7799611,600698,452248,148450,210,148240,78720,73637,52615,561
10,0,6,5,21.6,33,29.5,15.9,1073534,508647,408017,60033,1567,346417,156870,35319,30395,14402,11552,1700,44,9808,4442,635866,457474,121375,84249,37126,57017,6136,50881,15235,12559,2676,120,2556,41737,36426,19906,0
7,0,1,1,9.3,28.9,35.2,26.6,10216075,6290251,2112837,313552,88784,1710501,1812987,268614,38033,23417,7866,1167,331,6368,6749,6521819,4527013,1397318,1026458,370860,597488,12638,584850,127560,105236,22324,596,21728,51127,43018,26917,26
8,0,4,3,12.5,45.2,28.4,13.9,3506154,2106887,957021,90405,17609,849007,442246,105908,33106,19894,9036,854,166,8016,4176,1716262,1127552,326045,239961,86084,262665,24860,237805,44053,32658,11395,956,10439,38959,34526,22780,8
9,0,7,9,12.1,49.4,25.1,13.4,602578,348244,161846,17255,1927,142664,92488,16438,36658,21185,9846,1050,117,8679,5626,500960,367640,82637,55681,26956,50683,194,50489,9830,7650,2180,443,1737,50962,48058,29067,1
8,0,1,1,11.6,40.3,29.2,18.9,38373,1288681,110,6055,7961,3459515,2460489,53625,36392,24031,7011,675,78,6259,5350,830396,499346,124626,82871,41755,206424,44554,161870,20673,13829,6844,1538,5306,40168,36109,30507,33
2,0,2,2,21,32.8,26.8,19.3,1139258,836408,128585,12264,1771,114550,174265,28302,40254,29553,4543,433,63,4047,6157,310598,208289,50134,36149,13985,52175,4443,47732,10768,6869,3899,65,3834,28845,30323,12450,3
3,0,9,8,28.1,33,26.6,12.3,426516,239859,106435,9372,2190,94873,80222,13292,32088,18045,8007,705,165,7138,6035,114555,63201,17688,12924,4764,33666,12825,20841,3756,2242,1514,142,1372,30499,28190,15190,0
9,0,3,2,13.9,41.3,29.1,15.8,16856,173892,53434,4554,388,48492,33930,6120,42689,28414,8731,744,63,7924,5544,119940,50497,16393,12667,3726,53050,40790,12260,2690,1619,1071,439,632,44587,31190,19399,0
3,0,6,4,15.4,38.3,29.4,16.9,997915,660043,165872,10985,6793,148094,172000,27816,35876,23729,5963,395,244,5324,6183,420038,279341,78494,55461,23033,62203,27705,34498,12392,8812,3580,932,2648,33896,31700,13028,4
9,0,6,5,10.1,34,35.6,20.3,1022309,624090,228374,12823,1524,214027,169845,21533,47476,28983,10606,596,71,9939,7888,597247,329367,92775,68039,24736,175105,98192,76913,13351,9561,3790,1083,2707,44734,34449,28413,3
7,0,3,2,21.5,37,29.9,11.6,1695279,843898,578970,88656,22022,468292,272411,55695,30439,15152,10395,1592,395,8408,4891,965317,699542,187104,134067,53037,78671,25345,53326,22801,18689,4112,220,3892,42337,37431,13701,5
9,0,9,10,21.3,39.7,27,11.9,394978,183777,161836,18582,1252,142002,49365,13926,28363,13197,11621,1334,90,10197,3545,135446,76221,24679,18707,5972,34546,4877,29669,4809,3053,1756,403,1353,28165,24966,21928,0
5,0,4,5,13.6,37.9,33.1,15.4,1780617,1053756,495147,62071,33687,399389,231714,61281,29057,17195,8080,1013,550,6517,3781,1099739,748095,224077,162008,62069,127567,20138,107429,26829,20172,6657,888,5769,40991,37086,18622,1
3,0,9,10,16.5,35.4,32.5,15.7,236672,141839,54146,3344,1399,49403,40687,6113,38716,23203,8858,547,229,8082,6656,134930,63493,16597,11516,5081,54840,36992,17848,3667,2087,1580,534,1046,36796,30423,17063,0
7,0,9,12,12,33.2,34.6,20.2,404855,243037,58607,3738,2342,52527,103211,7220,56074,33662,8117,518,324,7275,14295,293716,160864,37440,23971,13469,95412,51291,44121,5537,3956,1581,498,1083,53046,40663,40740,0
6,0,1,1,15.5,34.5,30.9,19.1,2713874,1656766,719378,71366,19075,628937,337730,86706,31300,19108,8297,823,220,7254,3895,1751590,1244769,314611,230808,83803,192210,-15430,207640,42261,30040,12221,3667,8554,41447,41437,24274,12
0,0,3,2,21.1,37.1,25.3,16.5,1121563,764159,198284,17073,3009,178202,159120,42683,26277,17903,4646,400,70,4175,3728,704551,493147,148719,112612,36107,62685,7673,55012,20663,15534,5129,1360,3769,34097,31746,14596,2
10,0,2,2,14.1,33.5,28.7,23.8,2919184,1762348,736324,67458,3683,665183,420512,75459,38686,23355,9758,894,49,8815,5573,2902005,2174816,447528,294393,153135,279661,-2873,282534,48427,40622,7805,393,7412,59925,53538,38118,42
0,0,7,8,17,31.9,35.3,15.9,604890,350872,165775,12402,3595,149778,88243,21913,27604,16012,7565,566,164,6835,4027,382201,264942,71198,49027,22171,46061,7744,38317,13131,10313,2818,875,1943,29107,25690,19721,0
0,0,9,10,27,43.1,21.6,8.3,198520,99535,69609,6874,696,62039,29376,9557,20772,10415,7284,719,73,6491,3074,73816,36787,11789,9021,2768,25240,1708,23532,3744,1814,1930,707,1223,19716,20279,19241,0
6,0,2,2,10.1,30.7,39.1,20.1,415329,194065,135175,16705,5173,113297,86089,12950,32072,14986,10438,1290,399,8749,6648,178456,119013,37567,26590,10977,21876,614,21262,4558,3012,1546,286,1260,39152,39513,16875,2
2,0,6,6,39.3,38.1,15.1,7.5,501536,274615,177540,26633,2490,148417,49381,22179,22613,12382,8005,1201,112,6692,2226,276005,183076,53287,39206,14081,39642,-2411,42053,9188,6907,2281,237,2044,30040,26506,20574,0
8,0,7,9,18.2,35.1,35,11.7,684600,405556,157653,12363,2463,142827,121391,19591,34945,20701,8047,631,126,7290,6196,378803,265539,68242,48913,19329,45022,-1753,46775,9719,6123,3596,1380,2216,38976,43367,21108,1
9,0,6,3,7.6,39.5,32.2,20.7,560517,336152,133309,12666,2008,118635,91056,16524,33921,20343,8068,767,122,7180,5511,347313,235567,62399,43044,19355,49347,24228,25119,8454,6510,1944,535,1409,41083,36185,17828,1
5,0,7,9,9.1,33.9,36.2,20.9,619471,404502,100568,7529,5453,87586,114401,15849,39086,25522,6345,475,344,5526,7218,429077,292322,90397,60936,29461,46358,-4139,50497,9599,7217,2382,241,2141,44700,40505,23586,2
6,0,2,2,6,16,38.6,39.4,14829683,10067708,2247897,347268,80667,1819962,2514078,530860,27935,18965,4234,654,152,3428,4736,9387719,7044584,1721728,1154368,567360,621407,35075,586332,264693,187325,77368,2145,75223,35466,37606,7795,325
2,0,1,1,19.8,25,27.5,27.7,19325241,14709517,1845403,176874,68584,1599945,2770321,495752,38982,29671,3722,357,138,3227,5588,12658472,9260818,2355149,1679914,675235,1042505,11602,1030903,269312,226269,43043,565,42478,47003,40928,24269,137
0,0,3,2,20.8,22.9,31.4,24.8,7405312,5698618,523176,63406,5580,454190,1183518,122516,60444,46513,4270,518,46,3707,9660,6158363,2362158,498707,338613,160094,3297498,5975,3291523,84531,62233,22298,483,21815,72853,37957,150883,10
5,0,4,3,10.1,41,32.8,16.1,3123892,2096886,594688,35774,47804,511110,432318,88747,35200,23628,6701,403,539,5759,4871,1973063,1304403,381284,274244,107040,287376,25455,261921,43941,34216,9725,1811,7914,44903,38123,33096,27
1,0,7,11,8.4,27.8,25.4,38.4,752750,478830,40024,3872,1534,34618,233896,9811,76725,48805,4080,395,156,3528,23840,563809,292747,59863,36802,23061,211199,0,211199,10215,6689,3526,0,3526,55194,43765,59898,0
2,0,4,5,16.6,38.5,28.7,16.3,3010196,2026833,578130,48206,20946,508978,405233,101657,29611,19938,5687,474,206,5007,3986,1529481,1076639,310449,223129,87320,142393,14720,127673,43267,32120,11147,1463,9684,35350,33519,13184,32
0,0,5,8,14.2,39.3,30.5,16,1192857,741280,244614,21330,5771,217513,206963,40332,29576,18379,6065,529,143,5393,5131,980088,701349,184416,124224,60192,94323,13629,80694,26916,22863,4053,501,3552,36413,30676,22718,5
2,0,6,6,37.9,30.5,21.9,9.7,828627,494264,218583,21994,2231,194358,115780,31004,26726,15942,7050,709,72,6269,3734,466955,322546,88369,63892,24477,56040,9823,46217,15456,11860,3596,847,2749,30212,27196,16812,1
8,0,7,11,6.5,26.5,34.1,32.9,575031,391762,64552,7036,2152,55364,118717,8962,64163,43714,7203,785,240,6178,13247,422918,220947,78853,60778,18075,123118,0,123118,6608,4647,1961,0,1961,64001,47546,62783,0
2,0,6,6,21.5,49.5,19.2,9.9,606195,408667,129162,9528,2489,117145,68366,21580,28091,18937,5985,442,115,5428,3168,404638,262360,72542,52601,19941,69736,29688,40048,11595,8835,2760,769,1991,34898,29696,20115,1
9,0,6,5,14.9,39.6,25.7,19.8,1698198,1082360,354334,30764,2908,320662,261504,46938,36180,23059,7549,655,62,6832,5571,1027763,721381,190270,133280,56990,116112,25963,90149,25140,19754,5386,799,4587,40882,36518,19653,9
7,0,1,1,13.2,28.6,27.1,31.1,770047,495938,141636,13927,3821,123888,132473,22467,34275,22074,6304,620,170,5514,5896,354505,227517,57709,41051,16658,69279,12201,57078,11575,8221,3354,157,3197,30627,27675,17854,5
4,0,4,5,23,37.3,23.1,16.6,1548366,913077,352379,28797,13810,309772,282910,44799,34563,20382,7866,643,308,6915,6315,949414,581014,128216,85992,42224,240184,-16678,256862,23412,16356,7056,1207,5849,40552,35523,43916,93
1,0,7,11,18.1,37.5,29.4,15.1,397392,238220,105004,6983,2635,95386,54168,13705,28996,17382,7662,510,192,6960,3952,267329,198145,50299,34111,16188,18885,388,18497,7147,5722,1425,193,1232,37404,34629,15014,2
2,0,2,2,13,27.5,29.4,30.1,18836632,13602878,1926395,130650,31507,1764238,3307359,398843,47228,34106,4830,328,79,4423,8292,14091235,10377099,2217302,1519169,698133,1496834,-4241,1501075,260416,209658,50758,585,50173,54110,49495,29918,258
5,0,8,7,21.3,34.3,30.1,14.3,489787,245782,166622,17224,4471,144927,77383,18464,26527,13311,9024,933,242,7849,4191,211137,143049,41103,29866,11237,26985,198,26787,7690,5465,2225,524,1701,27456,26175,15748,0
3,0,6,6,31.9,35.5,20.8,11.7,1766642,1188753,315614,29639,6919,279056,262275,59420,29731,20006,5312,499,116,4696,4414,934802,705930,167285,119456,47829,61587,27053,34534,26441,21069,5372,733,4639,35354,33506,7444,11
4,0,1,1,13.4,26.2,22.1,38.2,57872484,39176330,6307886,313345,622608,5371933,12388268,900319,64280,43514,7006,348,692,5967,13760,37872102,25989821,5671129,3741821,1929308,6211152,2133,6209019,598923,458619,140304,46,140258,63234,56670,44269,255
3,0,3,2,7.6,22.3,27.4,42.7,3644069,2449243,472271,46091,12187,413993,722555,109010,33429,22468,4332,423,112,3798,6628,2367445,1700801,445216,317853,127363,221428,1136,220292,67975,54159,13816,874,12942,34828,31404,17021,14
0,0,2,2,15.3,27.4,37.4,19.8,8462224,5858571,1175087,153029,20676,1001382,1428566,266017,31811,22023,4417,575,78,3764,5370,7437036,5189237,1625031,1213489,411542,622768,4247,618521,166099,142720,23379,2023,21356,44775,36360,28962,16
10,0,7,8,3.4,22,28.3,46.3,1383949,724164,156472,8460,5037,142975,503313,17277,80104,41915,9057,490,292,8275,29132,817255,441315,110585,77806,32779,265355,-23,265378,17090,9304,7786,59,7727,47821,47433,34344,7
2,0,9,10,24.4,33.4,26,16.2,146962,83762,24283,1423,156,22704,38917,4591,32011,18245,5289,310,34,4945,8477,82625,44971,10565,7409,3156,27089,19185,7904,2648,1640,1008,420,588,31203,27421,13442,0
6,0,1,1,16.4,44.7,28,10.9,40575,294658,125331,12932,4689,107710,70434,15370,31908,19171,8154,841,305,7008,4583,163343,104956,31362,23416,7946,27025,-334,27359,6041,3346,2695,784,1911,27039,31368,14317,0
9,0,9,9,17.7,41.1,27.4,13.8,668952,321868,229460,21567,1775,206118,117624,25652,26078,12547,8945,841,69,8035,4585,296518,183430,62386,49172,13214,50702,15536,35166,10058,6210,3848,1189,2659,29481,29538,13225,2
6,0,1,1,7.5,16.9,25.5,50.2,8931189,7080831,748527,49597,36321,662609,1101831,182034,49063,38898,4112,272,200,3640,6053,4340410,2794398,576965,381034,195931,969047,3935,965112,82545,60659,21886,248,21638,52582,46067,44603,78
5,0,9,12,6.2,39.3,37.1,17.3,149860,85119,39286,2934,972,35380,25455,4023,37251,21158,9765,729,242,8794,6327,74965,39004,11578,8596,2982,24383,18594,5789,2270,1391,879,429,450,33024,28040,12864,1
5,0,1,1,11.3,33.1,32.9,22.7,14918609,8272350,4051928,318467,154432,3579029,2594331,465490,32049,17771,8705,684,332,7689,5573,5043870,3543777,902643,644819,257824,597450,-451,597901,143695,102443,41252,922,40330,35101,34593,14825,53
6,0,7,8,10.7,37.7,33.9,17.6,966542,529394,300232,34910,14537,250785,136916,32638,29614,16220,9199,1070,445,7684,4195,661836,460052,140540,102278,38262,61244,5407,55837,17676,13378,4298,327,3971,37443,34389,14061,4
7,0,6,4,16.7,45.6,25.9,11.8,635002,359505,183276,17553,5471,160252,92221,19738,32172,18214,9285,889,277,8119,4672,378392,253438,61583,40470,21113,63371,-1786,65157,9979,7827,2152,425,1727,37919,32380,37728,2
10,0,1,1,12.4,19.5,20.3,47.7,91863399,58500468,9022562,688986,99529,8234047,24340369,976103,94112,59933,9243,706,102,8436,24936,45308118,30903759,7205319,4924479,2280840,7199040,695,7198345,616088,447713,168375,70,168305,73542,69026,42770,1307
0,0,4,5,18.4,48.2,18.7,14.7,2363536,1492725,565966,49359,18343,498264,304845,89452,26422,16687,6327,552,205,5570,3408,1516218,948055,302621,220722,81899,265542,1994,263548,43996,33062,10934,1291,9643,34463,28675,27330,10
2,0,9,12,12.6,34,33.6,19.8,60310,39632,10476,609,35,9832,10202,1670,36114,23732,6273,365,21,5887,6109,43047,16764,4123,2766,1357,22160,4495,17665,1211,707,504,206,298,35547,23711,59279,0
7,0,9,8,6.5,33.9,43.4,16.2,196271,141159,21333,1145,152,20036,33779,2553,76879,55291,8356,448,60,7848,13231,127327,41967,8708,5479,3229,76652,62348,14304,1649,1035,614,263,351,77215,40548,40752,1
0,0,6,5,17.7,42.1,18.1,22.1,603408,406101,118354,7147,2691,108516,78953,18183,33185,22334,6509,393,148,5968,4342,694436,514712,143526,108170,35356,36198,2150,34048,14600,12723,1877,408,1469,47564,40455,23178,0
2,0,6,5,30.1,30.2,20.4,19.3,863606,489521,207911,35765,3174,168972,166174,32987,26180,14840,6303,1084,96,5122,5038,556197,391733,107349,80782,26567,57115,26581,30534,15998,13294,2704,344,2360,34767,29467,12938,0
1,0,1,1,11.9,24.8,30.7,32.6,12308045,9144506,1093277,104388,12083,976806,2070262,298496,41234,30635,3663,350,40,3272,6936,6805863,5020695,1064151,707641,356510,721017,-186,721203,159381,127458,31923,174,31749,42702,39391,22716,57
1,0,2,2,8.5,17.1,26.3,48.1,14192205,9913714,1315531,100307,49356,1165868,2962960,344018,41254,28817,3824,292,143,3389,8613,12467445,9081690,2607245,1922880,684365,778510,5328,773182,247735,205376,42359,1079,41280,50326,44220,18730,405
2,0,8,3,22,32.3,28.4,17.2,258887,178604,43074,2843,473,39758,37209,7996,32377,22337,5387,356,59,4972,4653,324765,246259,57051,42002,15049,21455,-114,21569,6056,4414,1642,331,1311,53627,55790,16452,3
1,0,6,6,35.8,32.1,22.1,10,727214,465576,168541,19556,3279,145706,93097,27311,26627,17047,6171,716,120,5335,3409,475339,325017,86243,60247,25996,64079,23098,40981,13137,10987,2150,220,1930,36183,29582,21234,2
4,0,6,6,21.1,38.5,26.4,14,918603,568423,209241,14164,11304,183773,140939,29659,30972,19165,7055,478,381,6196,4752,452101,276018,95266,73124,22142,80817,22881,57936,15356,9039,6317,2218,4099,29441,30536,14134,3
5,0,9,12,15.4,36.2,33.8,14.6,185617,109251,49523,12141,1267,36115,26843,5326,34851,20513,9298,2280,238,6781,5040,127758,71573,22516,16961,5555,33669,15322,18347,3060,2316,744,319,425,41751,30904,43169,0
10,0,6,6,14,45.7,25,15.3,1050127,531827,367663,29439,4224,334000,150637,30143,34838,17643,12197,977,140,11081,4997,446628,279771,76834,56868,19966,90023,23791,66232,12186,7917,4269,917,3352,36651,35338,19759,1
7,0,2,2,15.3,30.3,30.8,23.6,3745115,2216887,916991,80071,22508,814412,611237,119678,31293,18524,7662,669,188,6805,5107,1911481,1351410,354130,249285,104845,205941,-3690,209631,48715,36786,11929,630,11299,39238,36737,18553,53
3,0,6,6,20,39.3,27,13.6,551294,345167,117771,9015,4395,104361,88356,16634,33143,20751,7080,542,264,6274,5312,284552,163442,53962,42453,11509,67148,40013,27135,7770,5156,2614,508,2106,36622,31699,12885,1
6,0,6,6,15.4,38,29.5,17,658776,385918,174585,17571,7471,149543,98273,21279,30959,18136,8205,826,351,7028,4618,372764,263502,68102,48064,20038,41160,-5058,46218,9540,6247,3293,980,2313,39074,42181,19982,4
9,0,1,1,11.8,27.2,29,32,55486209,35882528,9992512,1269043,77240,8646229,9611169,1319511,42051,27194,7573,962,59,6553,7284,46039143,34465926,7319805,4855260,2464545,4253412,45430,4207982,844102,674212,169890,1963,167927,54542,51120,25058,341
1,0,9,8,20.1,42.7,24.3,12.8,159710,103269,28351,1660,152,26539,28090,5595,28545,18457,5067,297,27,4743,5021,79844,43549,10863,7524,3339,25432,9171,16261,2750,1698,1052,389,663,29034,25647,24526,1
1,0,3,2,17,36.1,23.8,23.1,1927368,1183278,357948,24636,3861,329451,386142,44925,42902,26339,7968,548,86,7333,8595,1608425,933393,261022,167888,93134,414010,-1070,415080,35569,30862,4707,191,4516,45220,30244,91913,4
8,0,9,10,19.2,48,22.9,9.9,155257,73064,61633,5982,746,54905,20560,5573,27859,13110,11059,1073,134,9852,3689,53759,29939,11012,8662,2350,12808,211,12597,1548,942,606,223,383,34728,31782,32890,0
8,0,9,12,3.6,18.5,38.7,39.3,41368,18972,6540,192,119,6229,15856,732,56514,25918,8934,262,163,8510,21661,22680,16558,3309,2137,1172,2813,350,2463,808,516,292,11,281,28069,32089,8765,0
6,0,9,12,12.8,36,40.8,10.4,87470,51503,22189,2132,352,19705,13778,1996,43823,25803,11117,1068,176,9872,6903,55582,15969,5335,4067,1268,34278,12748,21530,974,594,380,161,219,57066,26884,98311,0
7,0,7,9,9.5,46.5,29.1,15,828940,549924,165384,11994,4801,148589,113632,22538,36780,24400,7338,532,213,6593,5042,512348,332273,88709,61358,27351,91366,35669,55697,11562,8738,2824,538,2286,44313,38026,24364,3
10,0,3,2,9.1,31.3,40.1,19.4,2040832,1159756,442887,61614,3244,378029,438189,61524,33171,18850,7199,1001,53,6144,7122,2487130,1766354,686741,519408,167333,34035,1960,32075,39622,35340,4282,37,4245,62771,49982,7556,0
5,0,2,2,8.6,26.2,31.2,34,43342396,28321887,6311494,757177,358512,5195805,8709015,956193,45328,29619,6601,792,375,5434,9108,32003073,22426815,6426111,4558015,1868096,3150147,56638,3093509,595786,496958,98828,744,98084,53716,45128,31539,77
1,0,9,10,24.2,27.7,33.1,15,111422,72264,19273,2119,134,17020,19885,4052,27498,17834,4756,523,33,4200,4907,67765,40379,10196,7348,2848,17190,8097,9093,2062,1415,647,263,384,32864,28536,23680,0
6,0,7,9,9.4,36,34,20.5,772103,359740,265322,22369,9937,233016,147041,24772,31168,14522,10711,903,401,9406,5936,395215,257645,84472,64547,19925,53098,3140,49958,10500,7471,3029,295,2734,37640,34486,18273,0
2,0,4,3,18.4,45.7,20.8,15.1,2886231,1731522,751391,62352,18661,670378,403318,92007,31370,18819,8167,678,203,7286,4384,1635587,1118928,336494,244028,92466,180165,7888,172277,42945,33440,9505,639,8866,38086,33461,19431,9
3,0,7,9,35.3,28.3,21,15.4,413904,227624,132268,17427,1688,113153,54012,16104,25702,14135,8213,1082,105,7026,3354,202141,145082,43859,32496,11363,13200,2072,11128,6634,5229,1405,326,1079,30470,27746,10313,0
9,0,6,6,18.6,35,31.8,14.6,502474,265004,156698,12547,971,143180,80772,16143,31126,16416,9707,777,60,8869,5004,251258,167375,44109,30358,13751,39774,4707,35067,7094,4819,2275,485,1790,35418,34732,19591,0
1,0,2,2,16.5,30.2,26.4,26.9,31112252,22363138,4669807,620591,165197,3884019,4079307,785345,39616,28476,5946,790,210,4946,5194,20036736,14352321,3392097,2334897,1057200,2292318,1299,2291019,419538,339144,80394,1085,79309,47759,42319,28887,394
4,0,8,6,19,29.6,35.9,15.5,368737,141555,141144,13794,7189,120161,86038,13762,26794,10286,10256,1002,522,8731,6252,152629,84887,33132,27483,5649,34610,-1278,35888,4746,2731,2015,177,1838,32160,31083,19526,0
7,0,7,9,21.1,31.9,31,16,278881,143421,82621,7545,1252,73824,52839,8241,33841,17403,10026,916,152,8958,6412,190335,137047,32013,22358,9655,21275,-5997,27272,5343,3503,1840,559,1281,35623,39123,21290,0
3,0,7,12,20.4,33.4,30.8,15.5,210177,104893,58423,5222,1986,51215,46861,7961,26401,13176,7339,656,249,6433,5886,123259,83225,29948,22311,7637,10086,2713,7373,3891,2611,1280,349,931,31678,31875,7919,0
10,0,3,2,9.6,35.3,30,25.1,3494790,2085018,907262,91250,10172,805840,502510,87030,40156,23957,10425,1048,117,9259,5774,2386979,1693032,529905,388942,140963,164042,-1269,165311,45094,38094,7000,347,6653,52933,44444,24848,75
5,0,7,11,7.7,38.9,35.1,18.4,474305,217004,178590,15973,9475,153142,78711,16399,28923,13233,10890,974,578,9338,4800,262036,180831,60610,45747,14863,20595,-176,20771,7197,5829,1368,50,1318,36409,31023,15759,0
4,0,3,2,24.4,33.9,24.5,17.2,3198852,1930842,760147,89577,46109,624461,507863,95492,33499,20220,7960,938,483,6539,5318,2075069,1503534,392866,273747,119119,178669,41612,137057,51832,43105,8727,382,8345,40035,34881,16424,5
10,0,2,2,10.6,33.4,37.3,18.6,1553770,776683,476554,44968,7205,424381,300533,43596,35640,17815,10931,1031,165,9734,6894,639576,410153,122159,82661,39498,107264,16488,90776,16670,10952,5718,1030,4688,38367,37450,19363,2
9,0,5,8,40.8,21,26.4,11.8,1549066,928030,479369,87956,8731,382682,141667,57031,27162,16272,8405,1542,153,6710,2484,880913,564038,172765,133268,39497,144110,5967,138143,23307,18019,5288,257,5031,37796,31302,27458,2
2,0,4,3,25.8,33.5,26.5,14.2,4147531,2577375,873705,77189,24221,772295,696451,135626,30581,19004,6442,569,179,5694,5135,2618808,1909613,493223,342022,151201,215972,4178,211794,64435,51570,12865,832,12033,40643,37030,17601,3
9,0,2,2,10.4,30.6,30.7,28.3,3129081,1919327,630721,39253,4313,587155,579033,77035,40619,24915,8187,510,56,7622,7516,1088504,746127,181766,125534,56232,160611,-6259,166870,29956,20426,9530,1227,8303,36337,36528,20098,22
9,0,6,6,13,44.7,30.7,11.5,361277,221690,91069,8487,954,81628,48518,10488,34447,21137,8683,809,91,7783,4626,114263,58279,17001,12350,4651,38983,16221,22762,3891,1936,1955,810,1145,29366,30103,19879,0
2,0,8,7,17.8,41.4,28.3,12.4,523452,346432,94718,5265,2053,87400,82302,14961,34988,23156,6331,352,137,5842,5501,229436,103515,28466,20322,8144,97455,60223,37232,6979,3857,3122,1003,2119,32875,26838,17571,3
0,0,2,2,25.5,32.5,25.1,16.9,1953325,1346438,324559,30668,3945,289946,282328,71303,27395,18883,4552,430,55,4066,3960,1300591,943854,234040,163344,70696,122697,33458,89239,32090,24567,7523,1081,6442,40529,38420,13853,15
1,0,2,2,14,32,27.8,26.2,11561394,8040766,1474622,96593,41127,1336902,2046006,270814,42691,29691,5445,357,152,4937,7555,9118524,6291764,1698349,1258986,439363,1128411,4504,1123907,172895,144414,28481,609,27872,52740,43568,40324,139
2,0,8,4,20.9,42.4,24.8,12,225210,144130,50320,3696,532,46092,30760,8309,27104,17346,6056,445,64,5547,3702,100877,49175,15761,12323,3438,35941,14091,21850,4041,1933,2108,1042,1066,24963,25440,20497,1
0,0,6,5,15.1,33.1,24.7,27.1,22919,768437,226180,22135,4716,199329,284448,36960,34607,20791,6120,599,128,5393,7696,897176,586403,163169,116347,46822,147604,4,147600,25282,19323,5959,193,5766,35487,30347,25598,9
7,0,4,5,3.8,19,30.8,46.4,1301829,794948,206908,15388,4298,187222,299973,38072,34194,20880,5435,404,113,4918,7879,743489,472110,148329,106116,42213,123050,12875,110175,21080,15627,5453,957,4496,35270,30211,24505,7
